index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0, 354651.00
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,258228.6, 1686399.00 tonnes
2,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2002827.0, 3020808.00 metric tons
3,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,9224778.0, 9224778.00 tco2-eq
4,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26, 26.26 mtco2eq
5,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0, 345650.00
6,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,6038082.0, 6038082.00
7,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.26, 0.26 million mt co2e
8,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1883570.67, 1883570.67 tco2eq
9,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0," 153984.00, 2325603.00, 564614.00"
10,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83, 4730702.83 mwh
11,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,7292089.33, 7292089.33 tco2-eq
12,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07, 0.07
13,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,418550.0, 418550.00 tons co2e
14,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,11911.43," 17701809.67, 11515317.33"
15,What is the average energy consumption from 2023 to 2022 among the following companies?,37309.33, 65.45 twh
16,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,3.59, 3.59
17,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,770654.01, 770654.01
18,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0, 1265617.00
19,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,3965848.0, 3965848.00 tco2eq
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,1127442.0, 1127442.00
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,4058339.0, 4058339.00
22,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,0.28, 0.28
23,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,26288339.33, 26288339.33 tco2eq
24,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1561056.33, 1561056.33 tco2eq
25,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of cu.m?,18.48," 16.22, 20.75"
26,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14460.38, 24564435.83
27,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in TCO2eq?,9233857.33, 9233857.33 tco2eq
28,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,53299.67, 53299.67
29,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,3414270.0, 3414270.00 tco2e
30,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.41, 0.41
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1313193.0, 1313193.00
32,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.38, 0.38
33,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.39, 0.39
34,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,22.92, 22.92
35,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1748544.0, 2766525.00 tonnes
36,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.08, 0.08
37,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,3.89, 3.89 mtco2eq
38,What is the average energy consumption from 2023 to 2022 among the following companies?,98362.39," 12747.00, 282.31, 33.18"
39,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,4.34, 4.34
40,What is the average energy consumption from 2023 to 2022 among the following companies?,424856.0, 12004764.50
41,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,86867.67, 86867.67
42,What is the average energy consumption from 2023 to 2022 among the following companies?,504656.67," 1162801.50, 12747000.00, 94005972.22"
43,What is the average of total water consumption in the years 2023 and 2022 among the following companies in million cubic meters?,5.79," 5.14, 6.45"
44,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,245617.0, 245617.00
45,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.88, 1.88 mtco2eq
46,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.27, 1.27
47,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,1.32, 1.32
48,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,26124.96," 25494.00, 564.61, 66.35"
49,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,176693.0, 176693.00
