index,question,value,response,correct
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re, deutsche-telekom-ag,False
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"otc_esocf, otc_bayzf, otc_adddf, axa, nyse_az"," otc_esocf 5100000.00, otc_bayzf 1120000.00, otc_adddf 142293.00, axa 37172.00, nyse_az 30490.00",False
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01"," 1.11, 0.20, 0.14, 0.01",True
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0"," 432730.00, 5049144.00, 6780000.00, 8200000.00, 35400000.00",True
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02"," 61.90, 34.51, 0.03, 0.02",True
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,otc_esocf, otc_esocf,True
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0"," 71040000.00, 23800000.00",True
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07," 34.51, 53.07",False
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03, 0.03 twh,True
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0"," 770748.00, 3130824.00, 7635784.00, 9720000.00",True
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0"," 91,604,166.67, 12,241,000.00, 1,124,327.00, 71,218.00, 33,090.00",False
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0"," 22042.00, 42423.00",True
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04"," 3.28, 0.20, 0.11, 0.04",True
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0, nyse_tte 2022 166.00 twh,False
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"nasdaq_dasty, axa, munich-re, otc_esocf, otc_rwnef"," nasdaq_dasty, axa, munich-re, otc_esocf, otc_rwnef",True
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"otc_bayzf, otc_rwnef, otc_adddf"," otc_bayzf, otc_rwnef, otc_adddf",True
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_rwnef"," otc_bayzf, otc_rwnef",True
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"nyse_az, nasdaq_dasty, vivendi, munich-re, otc_esocf"," nyse_az 92467.00, nasdaq_dasty 168709.00, vivendi 727100.00, munich-re 3130824.00, otc_esocf 71040000.00",False
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"otc_rwnef, otc_esocf, munich-re, axa, nasdaq_dasty"," otc_rwnef 61.90, otc_esocf 34.51, munich-re 0.03, axa 0.02, nasdaq_dasty 0.00",False
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,otc_esocf, otc_esocf,True
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"otc_rwnef, otc_esocf, munich-re, otc_adddf"," otc_rwnef, otc_esocf, munich-re, otc_adddf",True
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068, 166.00,False
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"otc_esocf, otc_rwnef, otc_bayzf, munich-re"," otc_esocf, otc_rwnef, otc_bayzf, munich-re",True
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0, 5894811.00 tco2e,True
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,otc_rwnef, otc_rwnef,True
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, otc_adddf, nyse_az"," axa 21598.00, otc_adddf 21779.00, nyse_az 31774.00",False
26,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0, 7635784.0, 3130824.0"," 71040000.00,23800000.00,7635784.00,3130824.00",False
27,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0, 142293.0"," 5100000.00, 1120000.00, 142293.00",True
28,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,otc_bayzf, otc_bayzf,True
29,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, nyse_az"," vivendi 0.02 mtco2eq, nyse_az 0.03 mtco2eq",False
30,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"61.9, 34.51, 0.03, 0.02, 0.0"," 61.90, 34.51, 0.03, 0.02, 0.00",True
