,Question,SQL Query,Method,Table,Label
0,"Among employees rated as Average in Marketing or HR, as well as those rated Poor in HR or Sales, what is the highest salary?","SELECT MAX(Salary) AS Salary FROM (SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""Marketing"" AND PerformanceRating = ""Average"" UNION ALL SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""HR"" AND PerformanceRating = ""Average"" UNION ALL SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""HR"" AND PerformanceRating = ""Poor"" UNION ALL SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""Sales"" AND PerformanceRating = ""Poor"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>110416.340976</td>
      <td>140134.799431</td>
      <td>58727.907723</td>
      <td>58528.549637</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>55347.242787</td>
      <td>125831.450587</td>
      <td>55054.136317</td>
      <td>34193.135747</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>38484.886243</td>
      <td>114642.907998</td>
      <td>48282.321312</td>
      <td>91103.819191</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>42831.845121</td>
      <td>82811.979980</td>
      <td>91302.955909</td>
      <td>92801.446671</td>
    </tr>
  </tbody>
</table>",92801.446671
1,"Among the budgets allocated to the ""Mobile App Development"" project when it is either on hold or not yet started, the ""Cloud Integration"" project when completed, and the ""Website Redesign"" project when on hold, which budget amount is the highest?","SELECT MAX(Budget) AS Budget FROM (SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Mobile App Development"" AND ProjectStatus = ""On Hold"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Mobile App Development"" AND ProjectStatus = ""Not Started"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Cloud Integration"" AND ProjectStatus = ""Completed"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Website Redesign"" AND ProjectStatus = ""On Hold"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProjectStatus</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
      <th>On Hold</th>
    </tr>
    <tr>
      <th>ProjectName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Cloud Integration</th>
      <td>672611.834829</td>
      <td>539147.097123</td>
      <td>18127.194763</td>
      <td>837468.274665</td>
    </tr>
    <tr>
      <th>Data Migration</th>
      <td>366172.107371</td>
      <td>85733.236016</td>
      <td>151275.434651</td>
      <td>805767.646393</td>
    </tr>
    <tr>
      <th>Mobile App Development</th>
      <td>538617.184202</td>
      <td>260694.520698</td>
      <td>524565.575032</td>
      <td>574355.657649</td>
    </tr>
    <tr>
      <th>Website Redesign</th>
      <td>610879.800984</td>
      <td>554879.973257</td>
      <td>921413.960152</td>
      <td>369800.814671</td>
    </tr>
  </tbody>
</table>",672611.834829
2,"Among the collaboration ratings recorded for Team B and Team C, considering only remote work for Project Z and Project X, and hybrid work for Team C on Project X, what is the highest score achieved?","SELECT MAX(CollaborationScore) AS CollaborationScore FROM (SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team B"" AND ProjectName = ""Project Z"" AND CollaborationType = ""Remote"" UNION ALL SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team B"" AND ProjectName = ""Project X"" AND CollaborationType = ""Remote"" UNION ALL SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team C"" AND ProjectName = ""Project Z"" AND CollaborationType = ""Remote"" UNION ALL SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team C"" AND ProjectName = ""Project X"" AND CollaborationType = ""Hybrid"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>ProjectName</th>
      <th colspan=""4"" halign=""left"">Project X</th>
      <th colspan=""4"" halign=""left"">Project Y</th>
      <th colspan=""4"" halign=""left"">Project Z</th>
    </tr>
    <tr>
      <th>TeamName</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
    </tr>
    <tr>
      <th>CollaborationType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Hybrid</th>
      <td>5.049944</td>
      <td>0.167270</td>
      <td>1.150267</td>
      <td>1.958635</td>
      <td>9.831483</td>
      <td>5.957621</td>
      <td>0.810174</td>
      <td>1.212955</td>
      <td>1.050064</td>
      <td>2.678774</td>
      <td>3.208979</td>
      <td>2.975901</td>
    </tr>
    <tr>
      <th>In-Person</th>
      <td>8.154465</td>
      <td>5.019518</td>
      <td>1.606446</td>
      <td>6.198393</td>
      <td>8.249908</td>
      <td>8.834955</td>
      <td>2.251700</td>
      <td>4.568707</td>
      <td>6.575857</td>
      <td>1.579569</td>
      <td>6.321621</td>
      <td>3.776842</td>
    </tr>
    <tr>
      <th>Remote</th>
      <td>0.370119</td>
      <td>7.274665</td>
      <td>1.992570</td>
      <td>4.512164</td>
      <td>9.606954</td>
      <td>5.923330</td>
      <td>2.071392</td>
      <td>6.523787</td>
      <td>0.297953</td>
      <td>7.986780</td>
      <td>6.025189</td>
      <td>3.787062</td>
    </tr>
  </tbody>
</table>",7.98678
3,"What is the shortest duration of training completed by employees who either passed or are pending in the Soft Skills program, or who failed or are pending in the Leadership program?","SELECT MIN(TrainingDuration) AS TrainingDuration FROM (SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Soft Skills"" AND TrainingOutcome = ""Passed"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Soft Skills"" AND TrainingOutcome = ""Pending"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingOutcome = ""Failed"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingOutcome = ""Pending"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>TrainingOutcome</th>
      <th>Failed</th>
      <th>Passed</th>
      <th>Pending</th>
    </tr>
    <tr>
      <th>TrainingProgram</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Compliance</th>
      <td>15.705899</td>
      <td>36.421638</td>
      <td>19.292259</td>
    </tr>
    <tr>
      <th>Leadership</th>
      <td>39.327274</td>
      <td>14.095083</td>
      <td>21.558262</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>6.684449</td>
      <td>28.719568</td>
      <td>21.637428</td>
    </tr>
    <tr>
      <th>Technical Skills</th>
      <td>18.327171</td>
      <td>25.205174</td>
      <td>12.642607</td>
    </tr>
  </tbody>
</table>",21.558262
4,"Among the groups consisting of Developers in the Marketing department with unfavorable feedback, Developers in Engineering with neutral feedback, and Managers in Marketing who gave negative feedback, which group recorded the highest satisfaction rating?","SELECT MAX(SatisfactionScore) AS SatisfactionScore FROM (SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND JobRole = ""Developer"" AND FeedbackCategory = ""Negative"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Engineering"" AND JobRole = ""Developer"" AND FeedbackCategory = ""Neutral"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND JobRole = ""Manager"" AND FeedbackCategory = ""Negative"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>JobRole</th>
      <th colspan=""4"" halign=""left"">Analyst</th>
      <th colspan=""4"" halign=""left"">Developer</th>
      <th colspan=""4"" halign=""left"">Manager</th>
      <th colspan=""4"" halign=""left"">Salesperson</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>Engineering</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Engineering</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Engineering</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Engineering</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>FeedbackCategory</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Negative</th>
      <td>3.104416</td>
      <td>4.142855</td>
      <td>6.609069</td>
      <td>1.359794</td>
      <td>1.587756</td>
      <td>0.816036</td>
      <td>7.100703</td>
      <td>1.368379</td>
      <td>6.185270</td>
      <td>9.104001</td>
      <td>2.138089</td>
      <td>1.653527</td>
      <td>7.582565</td>
      <td>3.815984</td>
      <td>0.323141</td>
      <td>0.394398</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>2.756213</td>
      <td>9.612198</td>
      <td>7.971319</td>
      <td>1.099396</td>
      <td>8.906496</td>
      <td>7.203734</td>
      <td>9.287367</td>
      <td>3.859023</td>
      <td>2.286227</td>
      <td>3.103340</td>
      <td>6.353849</td>
      <td>6.884525</td>
      <td>0.038144</td>
      <td>9.191360</td>
      <td>0.186483</td>
      <td>4.971867</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>5.028044</td>
      <td>1.668846</td>
      <td>5.119300</td>
      <td>0.265233</td>
      <td>4.460703</td>
      <td>1.133665</td>
      <td>8.369442</td>
      <td>1.012791</td>
      <td>0.083675</td>
      <td>1.224489</td>
      <td>1.696355</td>
      <td>7.476653</td>
      <td>4.777370</td>
      <td>5.903645</td>
      <td>5.871907</td>
      <td>3.774866</td>
    </tr>
  </tbody>
</table>",8.906496
5,"Among employees with high engagement in Sales or Marketing, and those with low engagement in Marketing or HR, what is the smallest satisfaction score recorded?","SELECT MIN(SatisfactionScore) AS SatisfactionScore FROM (SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""High"" AND Department = ""Sales"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""Low"" AND Department = ""Marketing"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""Low"" AND Department = ""HR"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""High"" AND Department = ""Marketing"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>EngagementLevel</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>HR</th>
      <td>1.982446</td>
      <td>5.253297</td>
      <td>2.890600</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>9.470964</td>
      <td>8.356545</td>
      <td>2.586833</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>3.806209</td>
      <td>4.049135</td>
      <td>2.765429</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>8.014243</td>
      <td>8.681430</td>
      <td>8.863849</td>
    </tr>
  </tbody>
</table>",3.806209
6,"What is the highest neutral feedback score among the Sales, HR, and Marketing teams?","SELECT MAX(Rating) AS Rating FROM (SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""Sales"" AND FeedbackType = ""Neutral"" UNION ALL SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""HR"" AND FeedbackType = ""Neutral"" UNION ALL SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""Marketing"" AND FeedbackType = ""Neutral"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>FeedbackType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Negative</th>
      <td>4.931436</td>
      <td>2.515956</td>
      <td>2.558964</td>
      <td>2.355048</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>1.495121</td>
      <td>2.497378</td>
      <td>2.827661</td>
      <td>2.208732</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>3.707189</td>
      <td>4.093211</td>
      <td>4.084018</td>
      <td>2.815235</td>
    </tr>
  </tbody>
</table>",2.827661
7,"Among employees who left HR due to resignation or termination, and those who departed Marketing for other causes, what is the lowest recorded turnover percentage?","SELECT MIN(TurnoverRate) AS TurnoverRate FROM (SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""HR"" AND TurnoverReason = ""Resignation"" UNION ALL SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""HR"" AND TurnoverReason = ""Termination"" UNION ALL SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""Marketing"" AND TurnoverReason = ""Other"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>Engineering</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>TurnoverReason</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Other</th>
      <td>20.574953</td>
      <td>32.598072</td>
      <td>13.368402</td>
      <td>28.271877</td>
    </tr>
    <tr>
      <th>Resignation</th>
      <td>24.114840</td>
      <td>14.688302</td>
      <td>75.505440</td>
      <td>13.808343</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>16.026943</td>
      <td>85.263925</td>
      <td>61.099499</td>
      <td>5.941128</td>
    </tr>
    <tr>
      <th>Termination</th>
      <td>74.149135</td>
      <td>5.491736</td>
      <td>13.050635</td>
      <td>47.594157</td>
    </tr>
  </tbody>
</table>",5.491736
8,"Among the satisfaction ratings for employees involved in Mental Health programs with high engagement giving negative feedback, those participating moderately in Yoga with positive remarks, individuals with low involvement in Mental Health providing neutral responses, and employees moderately engaged in Fitness who expressed negative opinions, which group recorded the top satisfaction score?","SELECT MAX(SatisfactionScore) AS SatisfactionScore FROM (SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeWellness WHERE WellnessProgram = ""Mental Health"" AND ParticipationLevel = ""High"" AND FeedbackCategory = ""Negative"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeWellness WHERE WellnessProgram = ""Yoga"" AND ParticipationLevel = ""Medium"" AND FeedbackCategory = ""Positive"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeWellness WHERE WellnessProgram = ""Mental Health"" AND ParticipationLevel = ""Low"" AND FeedbackCategory = ""Neutral"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeWellness WHERE WellnessProgram = ""Fitness"" AND ParticipationLevel = ""Medium"" AND FeedbackCategory = ""Negative"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>WellnessProgram</th>
      <th colspan=""3"" halign=""left"">Fitness</th>
      <th colspan=""3"" halign=""left"">Meditation</th>
      <th colspan=""3"" halign=""left"">Mental Health</th>
      <th colspan=""3"" halign=""left"">Nutrition</th>
      <th colspan=""3"" halign=""left"">Yoga</th>
    </tr>
    <tr>
      <th>ParticipationLevel</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
    </tr>
    <tr>
      <th>FeedbackCategory</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Negative</th>
      <td>7.017709</td>
      <td>3.332844</td>
      <td>1.854181</td>
      <td>4.196188</td>
      <td>3.407950</td>
      <td>9.374372</td>
      <td>3.918455</td>
      <td>8.617248</td>
      <td>2.616850</td>
      <td>9.052564</td>
      <td>6.692083</td>
      <td>5.371307</td>
      <td>2.254268</td>
      <td>8.872123</td>
      <td>8.469773</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>9.491851</td>
      <td>9.015700</td>
      <td>9.277057</td>
      <td>3.975298</td>
      <td>7.995947</td>
      <td>1.506575</td>
      <td>5.338906</td>
      <td>3.772045</td>
      <td>7.769546</td>
      <td>1.499242</td>
      <td>0.456560</td>
      <td>5.714780</td>
      <td>1.610855</td>
      <td>9.144864</td>
      <td>4.611264</td>
    </tr>
    <tr>
      <th>Positive</th>
      <td>4.441066</td>
      <td>9.779809</td>
      <td>6.869830</td>
      <td>6.721663</td>
      <td>9.888859</td>
      <td>9.518456</td>
      <td>6.813892</td>
      <td>7.857773</td>
      <td>8.283117</td>
      <td>3.495584</td>
      <td>7.177529</td>
      <td>7.642542</td>
      <td>6.820462</td>
      <td>0.398295</td>
      <td>2.331553</td>
    </tr>
  </tbody>
</table>",3.918455
9,"Among the specified award categories and dates—Spot Award at the end of 2023, Employee of the Month at the start of 2022, Best Innovator at the start of 2022, and Spot Award at the start of 2022—which recognition had the lowest recorded value?","SELECT MIN(RecognitionValue) AS RecognitionValue FROM (SELECT RecognitionValue AS RecognitionValue FROM EmployeeRecognition WHERE RecognitionType = ""Spot Award"" AND RecognitionDate = ""2023-12-31"" UNION ALL SELECT RecognitionValue AS RecognitionValue FROM EmployeeRecognition WHERE RecognitionType = ""Employee of the Month"" AND RecognitionDate = ""2022-01-01"" UNION ALL SELECT RecognitionValue AS RecognitionValue FROM EmployeeRecognition WHERE RecognitionType = ""Best Innovator"" AND RecognitionDate = ""2022-01-01"" UNION ALL SELECT RecognitionValue AS RecognitionValue FROM EmployeeRecognition WHERE RecognitionType = ""Spot Award"" AND RecognitionDate = ""2022-01-01"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>RecognitionType</th>
      <th>Best Innovator</th>
      <th>Employee of the Month</th>
      <th>Spot Award</th>
      <th>Team Player</th>
    </tr>
    <tr>
      <th>RecognitionDate</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>2022-01-01</th>
      <td>91.385681</td>
      <td>1676.227773</td>
      <td>3329.239617</td>
      <td>3897.811660</td>
    </tr>
    <tr>
      <th>2023-12-31</th>
      <td>982.193533</td>
      <td>768.340877</td>
      <td>1283.980353</td>
      <td>9.002949</td>
    </tr>
  </tbody>
</table>",91.385681
